"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test retrieves a booking by ID and checks the response status and content.","586","Test getting booking by ID","","Wed Jul 31 22:46:10 AMT 2024","passed","Wed Jul 31 22:46:11 AMT 2024","","GET Booking Suite","",""
"Test to verify response when partially updating a booking with an invalid token.","610","Test Negative Partial Update Booking with Invalid Token","","Wed Jul 31 22:46:13 AMT 2024","passed","Wed Jul 31 22:46:14 AMT 2024","","Partial Update Booking Suite","",""
"Test to create a booking and verify the response.","755","Test Create Booking","","Wed Jul 31 22:46:09 AMT 2024","passed","Wed Jul 31 22:46:09 AMT 2024","","Create Booking Suite","",""
"Test to update a booking and verify the response.","691","Test Update Booking","","Wed Jul 31 22:46:11 AMT 2024","passed","Wed Jul 31 22:46:11 AMT 2024","","Update Booking Suite","",""
"This test checks if the health endpoint is reachable and returns the expected status code.","1163","Health Check Test","","Wed Jul 31 22:46:07 AMT 2024","passed","Wed Jul 31 22:46:08 AMT 2024","","Ping Tests","",""
"Test to delete a booking by ID and verify the response.","583","Test Delete Booking by ID","","Wed Jul 31 22:46:15 AMT 2024","passed","Wed Jul 31 22:46:15 AMT 2024","","Delete Booking Suite","",""
"This test retrieves all bookings and checks the response status and content.","732","Test getting all bookings","","Wed Jul 31 22:46:09 AMT 2024","passed","Wed Jul 31 22:46:10 AMT 2024","","GET Booking Suite","",""
"Test to create authentication token for booking API.","588","Test Booking Token Creation","","Wed Jul 31 22:46:08 AMT 2024","passed","Wed Jul 31 22:46:09 AMT 2024","","Create Token Booking Suite","",""
"Test to verify response when updating a booking with an invalid token.","1381","Test Negative Update Booking","","Wed Jul 31 22:46:11 AMT 2024","passed","Wed Jul 31 22:46:13 AMT 2024","","Update Booking Suite","",""
"Test to verify response when partially updating a booking without a token.","622","Test Negative Partial Update Booking without Token","","Wed Jul 31 22:46:14 AMT 2024","passed","Wed Jul 31 22:46:15 AMT 2024","","Partial Update Booking Suite","",""
"Test to partially update a booking and verify the response.","596","Test Partial Update Booking","","Wed Jul 31 22:46:13 AMT 2024","passed","Wed Jul 31 22:46:13 AMT 2024","","Partial Update Booking Suite","",""
